ACS Code,Area of Operations,Task,Type,Description
CA.IV.J.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task J. Glassy Water Approach and Landing (ASES, AMES)",Skills,"Establish the recommended approach and landing configuration, airspeed, and trim, and adjust pitch attitude and power as required to maintain a stabilized approach."
CA.IV.J.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task J. Glassy Water Approach and Landing (ASES, AMES)",Skills,"Maintain manufacturer'ss published approach airspeed or in its absence not more than 1.3 V , ±5 SO knots."
CA.IV.J.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task J. Glassy Water Approach and Landing (ASES, AMES)",Skills,"Make smooth, timely, and correct power and control adjustments to maintain proper pitch attitude and rate of descent to touchdown."
CA.IV.J.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task J. Glassy Water Approach and Landing (ASES, AMES)",Skills,"Contact the water in a proper pitch attitude, and slow to idle taxi speed."
CA.IV.J.S9,"IV. Takeoffs, Landings, and Go-Arounds","Task J. Glassy Water Approach and Landing (ASES, AMES)",Skills,Maintain directional control throughout the approach and landing.
CA.IV.K.K1,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Knowledge,"Effects of atmospheric conditions, including wind, on takeoff and climb performance."
CA.IV.K.K2,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Knowledge,Best angle of climb speed (Vx) and best rate of climb speed (Vy).
CA.IV.K.K3,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Knowledge,Appropriate airplane configuration.
CA.IV.K.K4,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Knowledge,Appropriate use of rough water takeoff and climb technique.
CA.IV.K.R1,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,"Selection of takeoff path based on pilot capability, airplane performance and limitations, available distance, and wind."
CA.IV.K.R2,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,Effects of:
CA.IV.K.R2a,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,a. Crosswind
CA.IV.K.R2b,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,b. Windshear
CA.IV.K.R2c,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,c. Tailwind
CA.IV.K.R2d,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,d. Wake turbulence
CA.IV.K.R2e,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,e. Water surface/condition
CA.IV.K.R3,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,"Abnormal operations, including planning for:"
CA.IV.K.R3a,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,a. Rejected takeoff
CA.IV.K.R3b,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,b. Potential engine failure in takeoff/climb phase of flight
CA.IV.K.R4,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,Collision hazards.
CA.IV.K.R5,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IV.K.R6,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IV.K.R7,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Risk Management,Gear position in an amphibious airplane.
CA.IV.K.S1,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Complete the appropriate checklist(s).
CA.IV.K.S10,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Lift off at minimum airspeed and accelerate to V ±5 knots before leaving ground effect. Y
CA.IV.K.S11,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Configure the airplane after a positive rate of climb has been verified or in accordance with airplane manufacturer'ss instructions.
CA.IV.K.S12,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Maintain V ±5 knots to a safe maneuvering altitude. Y
CA.IV.K.S13,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Maintain directional control and proper wind-drift correction throughout takeoff and climb.
CA.IV.K.S2,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Make radio calls as appropriate.
CA.IV.K.S3,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Verify assigned/correct takeoff path.
CA.IV.K.S4,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Determine wind direction with or without visible wind direction indicators.
CA.IV.K.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Position flight controls and configure the airplane for the existing conditions.
CA.IV.K.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,"Clear the area, select an appropriate takeoff path considering wind, swells, surface hazards, or vessels."
CA.IV.K.S6a,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,"a. Retract the water rudders, as appropriate"
CA.IV.K.S6b,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,b. Advance the throttle smoothly to takeoff power and confirm proper engine and flight instrument indications prior to rotation
CA.IV.K.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,[Archived]
CA.IV.K.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,"Establish and maintain an appropriate planing attitude, directional control, and correct for porpoising, skipping, and increase in water drag."
CA.IV.K.S9,"IV. Takeoffs, Landings, and Go-Arounds","Task K. Rough Water Takeoff and Climb (ASES, AMES)",Skills,Avoid excessive water spray on the propeller(s).
CA.IV.L.K1,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Knowledge,"A stabilized approach, including energy management concepts."
CA.IV.L.K2,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Knowledge,"Effects of atmospheric conditions, including wind, on approach and landing performance."
CA.IV.L.K3,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Knowledge,Wind correction techniques on approach and landing.
CA.IV.L.K4,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Knowledge,When and why rough water techniques are used.
CA.IV.L.K5,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Knowledge,How to perform a proper rough water approach and landing.
CA.IV.L.R1,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,"Selection of approach path and touchdown area based on pilot capability, airplane performance and limitations, available distance, and wind."
CA.IV.L.R2,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,Effects of:
CA.IV.L.R2a,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,a. Crosswind
CA.IV.L.R2b,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,b. Windshear
CA.IV.L.R2c,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,c. Tailwind
CA.IV.L.R2d,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,d. Wake turbulence
CA.IV.L.R2e,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,e. Water surface/condition
CA.IV.L.R3,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,Planning for a go-around and rejected landing.
CA.IV.L.R4,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,Collision hazards.
CA.IV.L.R5,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IV.L.R6,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IV.L.R7,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Risk Management,Gear position in an amphibious airplane.
CA.IV.L.S1,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,Complete the appropriate checklist(s).
CA.IV.L.S10,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,"Contact the water in a proper pitch attitude, considering the type of rough water."
CA.IV.L.S2,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,Make radio calls as appropriate.
CA.IV.L.S3,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,Ensure the airplane is aligned with the correct/assigned waterway.
CA.IV.L.S4,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,Scan the landing area for traffic and obstructions.
CA.IV.L.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,"Select and aim for a suitable touchdown point considering the wind conditions, landing surface, and obstructions."
CA.IV.L.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,"Establish the recommended approach and landing configuration, airspeed, and trim, and adjust pitch attitude and power as required to maintain a stabilized approach."
CA.IV.L.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,"Maintain manufacturer'ss published approach airspeed or in its absence not more than 1.3 times the stalling speed or the minimum steady flight speed in the landing configuration (V ), ±5 knots with gust SO factor applied."
CA.IV.L.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,Maintain directional control and appropriate crosswind correction throughout the approach and landing.
CA.IV.L.S9,"IV. Takeoffs, Landings, and Go-Arounds","Task L. Rough Water Approach and Landing (ASES, AMES)",Skills,"Make smooth, timely, and correct power and control adjustments to maintain proper pitch attitude and rate of descent to touchdown."
CA.IV.M.K1,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Knowledge,"A stabilized approach, including energy management concepts."
CA.IV.M.K2,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Knowledge,"Effects of atmospheric conditions, including wind, on approach and landing."
CA.IV.M.K3,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Knowledge,Wind correction techniques on approach and landing.
CA.IV.M.K4,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Knowledge,Purpose of power-off accuracy approach.
CA.IV.M.R1,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,"Selection of runway/landing surface, approach path, and touchdown area based on pilot capability, aircraft performance and limitations, available distance, and wind."
CA.IV.M.R2,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,Effects of:
CA.IV.M.R2a,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,a. Crosswind
CA.IV.M.R2b,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,b. Windshear
CA.IV.M.R2c,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,c. Tailwind
CA.IV.M.R2d,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,d. Wake turbulence
CA.IV.M.R2e,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,e. Landing surface/condition
CA.IV.M.R3,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,Planning for:
CA.IV.M.R3a,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,a. Rejected landing and go-around
CA.IV.M.R3b,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,b. Land and hold short operations (LAHSO)
CA.IV.M.R4,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,Collision hazards.
CA.IV.M.R5,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IV.M.R6,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IV.M.R7,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Risk Management,"Forward slip operations, including fuel flowage, tail stalls with flaps, and airspeed control."
CA.IV.M.S1,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,Complete the appropriate checklist(s).
CA.IV.M.S2,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,Make radio calls as appropriate.
CA.IV.M.S3,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,"Plan and follow a flightpath to the selected landing area considering altitude, wind, terrain, and obstructions."
CA.IV.M.S4,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,"Select the most suitable touchdown point based on wind, landing surface, obstructions, and aircraft limitations."
CA.IV.M.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,"Position airplane on downwind leg, parallel to landing runway."
CA.IV.M.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,Correctly configure the airplane.
CA.IV.M.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,"As necessary, correlate crosswind with direction of forward slip and transition to side slip before touchdown."
CA.IV.M.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task M. Power-Off 180° Accuracy Approach and Landing (ASEL, ASES)",Skills,"Touch down at a proper pitch attitude, within 200 feet beyond or on the specified point with no side drift and with the airplane'ss longitudinal axis aligned with and over the runway centerline or landing path, as applicable."
CA.IV.N.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,"A stabilized approach, including energy management concepts."
CA.IV.N.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,"Effects of atmospheric conditions, including wind and density altitude, on a go-around or rejected landing."
CA.IV.N.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,Wind correction techniques on takeoff/departure and approach/landing.
CA.IV.N.K4,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,"Go-around/rejected landing procedures, the importance of a timely decision, and appropriate airspeeds for the maneuver."
CA.IV.N.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Delayed recognition of the need for a go-around/rejected landing.
CA.IV.N.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Delayed performance of a go-around at low altitude.
CA.IV.N.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Power application.
CA.IV.N.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Configuring the airplane.
CA.IV.N.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Collision hazards.
CA.IV.N.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IV.N.R7,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IV.N.R8,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Runway incursion.
CA.IV.N.R9,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Managing a go-around/rejected landing after accepting a LAHSO clearance.
CA.IV.N.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Complete the appropriate checklist(s).
CA.IV.N.S2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Make radio calls as appropriate.
CA.IV.N.S3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Make a timely decision to discontinue the approach to landing.
CA.IV.N.S4,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Apply takeoff power immediately and transition to climb pitch attitude for Vx or Vy as appropriate ±5 knots.
CA.IV.N.S5,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Configure the airplane after a positive rate of climb has been verified or in accordance with airplane manufacturer'ss instructions.
CA.IV.N.S6,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maneuver to the side of the runway/landing area when necessary to clear and avoid conflicting traffic.
CA.IV.N.S7,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maintain V ±5 knots to a safe maneuvering altitude. Y
CA.IV.N.S8,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maintain directional control and proper wind-drift correction throughout the climb.
CA.IV.N.S9,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,"Use runway incursion avoidance procedures, if applicable."
CA.IX.A.K1,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,"Situations that would require an emergency descent (e.g., depressurization, smoke, or engine fire)."
CA.IX.A.K2,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,Immediate action items and emergency procedures.
CA.IX.A.K3,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,"Airspeed, including airspeed limitations."
CA.IX.A.K4,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,Aircraft performance and limitations.
CA.IX.A.R1,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,"Altitude, wind, terrain, obstructions, gliding distance, and available landing distance considerations."
CA.IX.A.R2,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,Collision hazards.
CA.IX.A.R3,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,Configuring the airplane.
CA.IX.A.R4,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.A.S1,IX. Emergency Operations,Task A. Emergency Descent,Skills,Clear the area.
CA.IX.A.S2,IX. Emergency Operations,Task A. Emergency Descent,Skills,Establish and maintain the appropriate airspeed and configuration appropriate to the scenario specified by the evaluator and as covered in Pilot's Operating Handbook (POH)/Airplane Flight Manual (AFM) for the emergency descent.
CA.IX.A.S3,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Maintain orientation, divide attention appropriately, and plan and execute a smooth recovery."
CA.IX.A.S4,IX. Emergency Operations,Task A. Emergency Descent,Skills,Use bank angle between 30° and 45° to maintain positive load factors during the descent.
CA.IX.A.S5,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Maintain appropriate airspeed +0/-10 knots, and level off at a specified altitude ±100 feet."
CA.IX.A.S6,IX. Emergency Operations,Task A. Emergency Descent,Skills,Complete the appropriate checklist(s).
CA.IX.A.S7,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Use single-pilot resource management (SRM) or crew resource management (CRM), as appropriate."
CA.IX.B.K1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Immediate action items and emergency procedures.
CA.IX.B.K2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,"Airspeed, including:"
CA.IX.B.K2a,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,a. Importance of best glide speed and its relationship to distance
CA.IX.B.K2b,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,b. Difference between best glide speed and minimum sink speed
CA.IX.B.K2c,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,c. Effects of wind on glide distance
CA.IX.B.K3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Effects of atmospheric conditions on emergency approach and landing.
CA.IX.B.K4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,"A stabilized approach, including energy management concepts."
CA.IX.B.K5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Emergency Locator Transmitters (ELTs) and other emergency locating devices.
CA.IX.B.K6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Air traffic control (ATC) services to aircraft in distress.
CA.IX.B.R1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Altitude, wind, terrain, obstructions, gliding distance, and available landing distance considerations."
CA.IX.B.R2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Following or changing the planned flightpath to the selected landing area.
CA.IX.B.R3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Collision hazards.
CA.IX.B.R4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Configuring the airplane.
CA.IX.B.R5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IX.B.R6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.B.S1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Establish and maintain the recommended best glide airspeed, ±10 knots."
CA.IX.B.S2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Configure the airplane in accordance with the Pilot's Operating Handbook (POH)\Airplane Flight Manual (AFM) and existing conditions.
CA.IX.B.S3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Select a suitable landing area considering altitude, wind, terrain, obstructions, and available glide distance."
CA.IX.B.S4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Plan and follow a flightpath to the selected landing area considering altitude, wind, terrain, and obstructions."
CA.IX.B.S5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Prepare for landing as specified by the evaluator.
CA.IX.B.S6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Complete the appropriate checklist(s).
CA.IX.C.K1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Causes of partial or complete power loss related to the specific type of powerplant(s).
CA.IX.C.K1a,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,a. [Archived]
CA.IX.C.K1b,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,b. [Archived]
CA.IX.C.K1c,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,c. [Archived]
CA.IX.C.K1d,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,d. [Archived]
CA.IX.C.K2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,"System and equipment malfunctions specific to the aircraft, including:"
CA.IX.C.K2a,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,a. Electrical malfunction
CA.IX.C.K2b,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,b. Vacuum/pressure and associated flight instrument malfunctions
CA.IX.C.K2c,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,c. Pitot-static system malfunction
CA.IX.C.K2d,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,d. Electronic flight deck display malfunction
CA.IX.C.K2e,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,e. Landing gear or flap malfunction
CA.IX.C.K2f,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,f. Inoperative trim
CA.IX.C.K3,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Causes and remedies for smoke or fire onboard the aircraft.
CA.IX.C.K4,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,"Any other system specific to the aircraft (e.g., supplemental oxygen, deicing)."
CA.IX.C.K5,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Inadvertent door or window opening.
